employee_id,department_id,first_name,last_name,em_gender,em_birthday,em_phone,em_email,em_address,em_postcode,em_position,year_hired,skill,hourly_wage,currency_id,location_type,em_status
11,11,Patricia,Hall,Female,8/17/1966,381-453-3521,tammydavis@smith.com,4870 Martin Harbor Durhamstad QC H5V 7H5,T3P 5P8,Psychiatrist,2004,Management,47.32,1,2,0
12,19,Shelby,Johnson,Male,5/13/1978,764 812 8176,martingregory@gmail.com,53475 Susan Falls Suite 364 Hoffmanstad QC T5A 8H2,S2T 7R5,Professor Emeritus,2022,Logistics,27.13,1,0,1
13,20,Andrew,Gibbs,Other,3/4/1962,(312) 532-1649,james10@bowen.com,907 Jennifer Walks Shanefurt NT V4K 2S4,S3T4T2,Research scientist (life sciences),2006,Cash Handling,49.11,1,2,0
14,10,Emily,Ward,Female,1/22/1971,(681) 651-1427 x860,abaker@gmail.com,230 Wagner Loaf West Amanda MB V2M 3V5,P1X1G7,Scientist research (medical),2006,Cash Handling,19.75,1,0,1
15,4,Lynn,Jones,Other,5/20/1964,979.552.9838,gary40@yahoo.com,8040 Sanchez Plaza South Maria QC B4K 3R8,A6L 2K9,Scientist research (life sciences),2007,Data Analysis,19.18,1,1,0
16,17,Cynthia,Barber,Female,6/11/2002,382 628 0878,montoyamisty@patterson.com,22637 Dennis Mall New Kimberly AB T3J 3G7,Y9H5B7,Press sub,2023,Data Analysis,40.37,1,2,0
17,15,Cole,Cruz,Other,5/22/1981,162.317.6352,john41@gmail.com,36388 Fletcher Summit Suite 976 Alisonborough AB P9J1H9,H5A 1H2,Computer games developer,2016,Logistics,40.26,1,0,1
18,11,David,Stewart,Female,8/3/1970,(638) 721-0666,ymoss@gmail.com,540 Cruz Shoal North Bryanbury NL N2R5Y6,E3H 2J2,Clinical biochemist,2015,Marketing,47.99,1,0,1
19,14,Brooke,Williams,Other,2/24/2000,541 402 1835,david42@hotmail.com,88713 Clark Ranch Apt. 150 North Jennifer NS R3M3E7,E9R3R8,Glass blower/designer,2007,Accounting,21.2,1,2,0
20,16,Sharon,Johnson,Other,10/16/1991,152-600-6520 x775,lkhan@bennett.com,680 Christina Centers Cooperfurt MB L1J2R3,A9N4B3,Engineer drilling,2021,Marketing,20.04,1,2,0
21,2,Suzanne,Morales,Other,5/12/2005,377.206.8338,samantha93@hughes-salas.org,72451 Hill Mountain Zimmermanside PE C3V 7G3,N1S1H7,Retail buyer,2012,Management,35.78,1,0,0
22,13,Andrew,Brown,Male,3/8/1959,+1 (777) 543-5261,johnsonkristin@yahoo.com,656 Wallace Squares Wilkersonburgh ON S2N 2C2,C3S9A2,Research scientist (life sciences),2019,Accounting,15.76,1,1,1
23,18,Howard,Zhang,Other,1/21/1993,562.523.1870,ichapman@gmail.com,751 Morse Overpass Jillhaven NB N7A 4J7,C8V5A6,Music tutor,2011,Cash Handling,15.93,1,1,0
24,13,Amy,Malone,Other,7/29/1981,(105) 583-4979 x979,hendricksmelissa@rodriguez-garcia.biz,12379 Elizabeth Cliff Donaldchester QC R5H 9V4,H8A 8K1,Designer industrial/product,2003,Data Analysis,30.67,1,1,1
25,8,Andrew,Davis,Other,3/5/1967,(191) 904-5330,zacharydennis@yahoo.com,822 Cook Mountain Markhaven BC R6C 8K5,T3Y 5J9,Financial controller,2012,Technical Support,49.31,1,2,1
26,12,Sabrina,Chavez,Female,5/22/1999,(597) 026-6482,ljames@gmail.com,5764 Ramsey Spurs Lake Caleb YT T7N9P9,A7L 4J8,Accountant chartered,2003,Supply Chain,38.39,1,1,0
27,10,William,Shaw,Male,11/4/1987,711 116 1628,oparks@mooney-rice.com,426 Andrews Pass Suite 678 Josephville YT S8N 1H9,V3Y2C6,Commissioning editor,2018,Technical Support,34.73,1,1,1
28,7,Katie,Payne,Male,5/11/1987,118-982-8888 x453,andersonjade@gmail.com,089 Kaitlin Streets Apt. 443 Thorntonhaven NL H6R 6S7,N6X 5G2,Designer blown glass/stained glass,2004,Supply Chain,27.36,1,0,0
29,12,Rebecca,Brooks,Other,3/13/1991,407 071 6310,oterry@bailey.com,4431 Caroline Circle Danielmouth NL B8B 2A4,H3Y5T6,Editor magazine features,2016,Inventory Management,21.35,1,1,0
30,12,Mark,Conway,Female,11/13/1961,1 (620) 362-6674,zcarlson@gmail.com,04939 Wright Mountain Hoffmanmouth MB M7A 6N3,A3H7B7,Academic librarian,2001,Marketing,43.27,1,0,1
31,1,Jerome,Brown,Female,9/17/1997,516 874 1601,wreilly@hotmail.com,693 James Courts Davisburgh MB T6G5R3,K6X 9E9,Accountant chartered certified,2003,Sales,38.19,1,1,0
32,2,Sergio,Donaldson,Other,5/25/1984,393.214.2978,ymiller@smith.biz,1272 Hubbard Vista Lake Alishaview QC M5J 8P3,G3N 8K2,Production manager,2003,Driving,34.79,1,2,1
33,4,Jeffery,Garcia,Female,1/19/2001,1-251-048-4693,krodriguez@dixon.com,03543 Tiffany Divide Apt. 207 Whitneyborough NL G3V5N3,C7E 9E7,Lecturer further education,2024,Cash Handling,17.61,1,0,1
34,2,Jonathan,Garcia,Male,1/21/1964,282.711.6995,mooneyashley@yahoo.com,1352 Robinson Rue Lake Eric SK G9J 4H7,A2A2G4,Designer multimedia,2004,Data Analysis,44.99,1,0,1
35,3,Dylan,Hicks,Male,8/8/1991,217-191-0987 x494,jharris@johnson-riley.com,3904 Marshall Summit South Kevinfurt MB C8E5J3,E6E 5J3,Museum/gallery exhibitions officer,2016,Marketing,26.86,1,1,0
36,1,Barbara,Brown,Female,2/12/1983,1 (733) 654-3846,melissa94@hotmail.com,7723 Dalton Groves East Melissa YT X9E 2V3,H9J 2M2,Tax inspector,2004,Inventory Management,30.85,1,0,0
37,1,James,Riggs,Female,6/3/1960,739 930 3560,lewiskristen@hotmail.com,46423 John Plaza Suite 398 Nunezmouth MB V3T5C2,V5L 1Y5,Furniture conservator/restorer,2020,Inventory Management,44.26,1,0,0
38,3,Katherine,Terry,Male,3/9/1983,755-088-2526,medinamichelle@gmail.com,77136 Melissa Branch Apt. 484 Kimberg SK R5G9L7,E1L 7E2,Counsellor,2010,Technical Support,36.52,1,2,1
39,1,Chris,Lam,Male,11/3/1961,1 (410) 117-5720,georgehunter@yahoo.com,49730 Smith Ridges Wileybury MB H9E2B4,R7H 3B3,Hydrogeologist,2017,Technical Support,43.72,1,0,1
40,9,Jeffrey,Serrano,Other,5/5/1961,223 496 5903,edwardsdouglas@williams.com,19616 Scott Extensions North Vanessaview MB E5V5K1,Y6L7J3,Administrator arts,2008,Technical Support,30.66,1,2,0
41,1,Misty,Gilmore,Other,1/3/1982,(712) 635-9564,stephensonjeffery@turner.info,64054 Victoria Center North Brent NL C5V9E3,L1L 2V4,Physicist medical,2020,Data Analysis,31.13,1,1,1
42,13,Lori,King,Other,3/10/1968,988-718-0963,jeremy22@gmail.com,2346 Levy Fork Apt. 454 Lake Angela NU P3H 6G6,S7E3H8,Training and development officer,2019,Marketing,32.94,1,0,0
43,7,Raymond,Dudley,Other,1/10/1994,1-745-767-3506,paige95@sanchez.com,2078 Joseph Unions Apt. 966 Hughesberg NU E7M 9G3,V3A 3S1,Scientist forensic,2011,Driving,15.52,1,2,1
44,3,Edward,Robbins,Other,6/6/2004,1-665-770-9502,beverlyburnett@walker.biz,63496 Ann Plains Michaelport YT S2B 6S8,B7R 1R5,Actor,2024,Customer Service,24.01,1,1,1
45,4,Michael,Phelps,Female,10/16/1999,(794) 831-2135 x678,gregory70@holmes-thomas.net,1479 Michael Estate North Sarah ON C5H 7N9,A6K 4V8,Runner broadcasting/film/video,2017,Technical Support,44.45,1,1,0
46,13,Jill,Kelley,Male,3/20/1966,1 (997) 113-0524,btorres@yahoo.com,1674 Pruitt Brook Apt. 294 Lake Amanda NU T6E 4A7,C1T 9N2,Surveyor planning and development,2015,Customer Service,19.48,1,0,0
47,18,Michele,Kline,Other,5/21/1984,1 (877) 950-7115,tiffany68@lozano.com,550 Aguilar Mission Heatherchester NL T5C 8J5,K3S1T3,Clinical embryologist,2022,Driving,45.82,1,1,1
48,9,Holly,Rogers,Male,1/22/1961,497 149 9596,melissa80@gomez-miller.com,40277 Elizabeth Meadow Duartefurt NS G1V 3P9,C1B 2G9,Industrial/product designer,2002,Cash Handling,46.15,1,2,1
49,15,Gregory,Schneider,Other,10/25/1970,1-233-712-7625,johnking@fowler-mitchell.org,466 Torres Heights East Mariechester ON V3X4A4,C5Y9K5,Early years teacher,2000,Sales,32.17,1,2,1
50,17,Brian,Hall,Male,7/24/1983,1-411-281-5830,karencochran@hotmail.com,26687 Sarah Fields Apt. 966 Brettborough PE C4E 4M9,C5E 8P1,Scientist product/process development,2017,Cash Handling,24.17,1,2,1
51,14,Monica,Roberson,Female,10/8/1978,296 878 4672,zmahoney@lewis.com,267 Wilson Junctions North Nicholas NT V3M7Y6,C4B1C4,Podiatrist,2015,Cash Handling,48.86,1,2,0
52,4,Lori,Wilson,Other,5/1/1978,521 371 7993,simmonsjocelyn@swanson.org,8024 Leonard Mountains Apt. 651 South Cameron NB A6X9M4,B5E 8E2,Analytical chemist,2012,Management,28.1,1,0,0
53,9,Jared,Bell,Female,2/20/1984,(484) 902-0603,perkinsandrew@yahoo.com,8356 Collins Streets Virginiahaven MB Y5E4A9,T4V 5L1,Careers adviser,2009,Logistics,49.81,1,1,1
54,5,Stephanie,Tate,Other,2/7/2004,(412) 364-5403,leahmendez@torres.com,67918 Thomas Centers Apt. 494 Port Michaelshire NU V7C 4C6,M4T 3J6,Chartered legal executive (England and Wales),2000,Management,16.86,1,0,0
55,5,Melissa,Jones,Other,5/13/1988,804-571-1702 x762,wanderson@mcintyre.com,1905 Susan Mountains Apt. 193 Ianhaven NS A4X 3X4,P9Y 3L6,Tourism officer,2001,Inventory Management,17.84,1,0,1
56,16,Rebecca,Pierce,Other,2/28/1974,(619) 167-4890,hendrickserin@yahoo.com,16719 Kimberly Junctions Suite 811 Lewistown MB H9M1H3,M6T 3V5,Interpreter,2019,Supply Chain,26.45,1,1,0
57,1,Jennifer,Hawkins,Female,1/7/2002,771 969 6103,emily68@reilly-white.info,07039 Sharon Highway Suite 227 West Dakotahaven PE C5V3M4,A9P 7E3,Psychotherapist child,2000,Customer Service,43.08,1,2,1
58,17,Nicole,Brown,Male,2/29/1992,1 (395) 494-4587,ymartinez@smith.biz,09511 Erica Causeway Suite 132 Johnport NB K2S 8K4,E5C8R4,Social worker,2010,Marketing,22.67,1,1,1
59,4,Zachary,Ballard,Other,1/16/1991,(713) 128-7629 x988,keith41@clark.org,4476 Bernard Corner New Andrew NT A4L 7P7,R1S 3L1,Leisure centre manager,2008,Logistics,36.94,1,0,1
60,14,Kathleen,Bradley,Female,8/2/1971,640-384-7527 x993,ybyrd@yahoo.com,0938 Clark Avenue Michaelhaven MB S4M5B7,B2H 8A5,Warden/ranger,2024,Technical Support,19.24,1,0,0
61,1,Briana,Fields,Other,6/15/1976,(105) 223-1178 x659,richardsonamanda@hotmail.com,41431 Mccann Ridge Lake Bryan BC T7C 9M9,G6M 7M4,Administrator education,2023,Supply Chain,23.05,1,2,0
62,12,Linda,Johnson,Male,10/14/1970,399-330-7558 x774,aguirredebra@walker.org,83664 Herrera Turnpike Robertmouth NB P5V 8A1,A8H3X3,Midwife,2001,Customer Service,23.83,1,0,1
63,18,Laura,Bradley,Female,6/7/1969,226.708.4697,bcollins@lawrence.net,754 Karen Terrace Suite 958 Lake Hannahshire SK R3E3X7,C8G8T8,Ship broker,2017,Data Analysis,42.96,1,2,1
64,18,Corey,Reyes,Male,12/9/1987,+1 (521) 008-6201,ywilson@johnson.com,3967 Kyle Square Suite 866 New Julieville NL G4X 2C8,A2J 1A5,Personnel officer,2019,Accounting,35.73,1,1,1
65,12,Juan,Johnson,Female,5/1/1972,967-910-9045,amanda28@king.info,4877 Stephens Bridge East Craigburgh AB M1A 2B8,N2B3S7,Customer service manager,2013,Inventory Management,22.5,1,2,1
66,11,Diane,Price,Male,8/7/2000,1-160-168-1462,desireesantiago@lee.org,335 Tiffany Trafficway North Heather MB Y2Y9E8,Y7H3G3,Theme park manager,2015,Cash Handling,25.08,1,1,0
67,6,Ruben,Brown,Male,4/30/1967,(960) 384-0842,kingshannon@dean-neal.com,42385 Martin Fork Ianborough NB S3K 7M2,N2R 2X2,Insurance risk surveyor,2002,Customer Service,17.86,1,0,1
68,20,Debra,Brown,Other,6/30/1973,+1 (890) 551-4467,osanchez@yahoo.com,25931 Ethan Mill Lake Justinside BC P5G 1A4,B8X7H5,Environmental health practitioner,2014,Marketing,33.21,1,2,0
69,18,Becky,Fisher,Other,12/1/1970,807-371-8557,jeffery48@burke.com,6220 Stewart Junction Port Jennifer AB P8L 5G9,P9S 6B4,Curator,2019,Cash Handling,46.33,1,2,0
70,20,Shawna,Bernard,Male,6/18/1977,+1 (543) 480-8002,bryan48@yahoo.com,548 Villegas Drives Lake Emilychester PE A2J 6C1,R9Y 3P6,Holiday representative,2006,Marketing,18.43,1,1,1
71,1,Keith,Fisher,Male,12/18/1998,(820) 751-2523,gabriel53@yahoo.com,4011 Young Curve Apt. 957 Port Jamie ON R6S1A2,S6K 8B8,Cytogeneticist,2005,Logistics,35.02,1,0,0
72,4,Shirley,Fox,Other,8/25/1982,923.728.6601,jackie26@hotmail.com,56248 Mccall Causeway Apt. 620 West Barbara NS V8M 8T4,C2M 3G7,Engineer land,2018,Driving,18.2,1,2,0
73,16,Amy,Greene,Female,10/10/1979,760-537-0603,dannylynch@yahoo.com,693 Parrish Square Pamelafort MB E3V8J6,Y3V9E9,Stage manager,2024,Logistics,15.71,1,0,0
74,16,Matthew,Carpenter,Female,11/19/1989,770-485-1064,jacquelinewarren@ramirez-dennis.info,68526 Garza Turnpike Suite 795 South Lindsaystad QC K1S 6K7,B7P5M4,Chemical engineer,2000,Management,41.7,1,0,0
75,2,Robert,Wells,Other,8/13/2004,(120) 069-4680 x425,robertsanchez@hotmail.com,61795 Warren Unions New Arianaport YT R9C2B1,J6V 2E8,Probation officer,2012,Cash Handling,34.35,1,0,1
76,10,Xavier,Walker,Female,8/5/1984,+1 (368) 481-3728,ericoconnor@reid-holder.biz,851 Sullivan Springs Apt. 567 New Timothy PE T2B 7P8,L8G1K2,Meteorologist,2016,Customer Service,20.47,1,0,1
77,15,Daniel,Brown,Female,7/11/1995,(606) 567-4453 x453,marymartin@rodriguez-davis.com,01697 Angel Stravenue Lake Chelsey PE E9G8L2,T4E4G3,Engineer automotive,2010,Cash Handling,16.12,1,1,0
78,18,Danielle,Martin,Male,11/22/1969,1 (350) 695-2187,wrighttiffany@hotmail.com,164 Luis Manors Colechester PE X6G9N2,T6X 5B7,Psychiatric nurse,2016,Management,16.02,1,1,0
79,2,Erika,Young,Other,1/13/1960,1-973-438-3393,matthewkennedy@gmail.com,9959 Frances Rest Rossburgh NT N2B1K8,S5J1M5,Hydrographic surveyor,2007,Supply Chain,18.21,1,2,0
80,17,Jeffrey,Diaz,Female,8/20/1979,1-644-338-7323,rebeccaparker@lambert.com,0337 Melissa Pines South Michaeltown ON L5Y1C5,P1V 3G8,Armed forces operational officer,2002,Technical Support,43.4,1,1,1
81,17,Sarah,Steele,Male,10/1/1969,331 801 7206,timothy05@gmail.com,4208 Robert Hollow West Manuel SK J4S3M9,H2K2C4,Records manager,2017,Data Analysis,30.11,1,1,0
82,15,Jeffrey,Oneill,Other,7/29/1990,(351) 089-0827 x821,pgarcia@gmail.com,718 Cynthia Shoals West Tashamouth ON S4T5P3,V3N 3G3,Science writer,2022,Customer Service,44.19,1,0,0
83,15,Emily,Ramirez,Other,6/23/1969,941-072-1783 x056,wgarcia@stevens.biz,83771 Jack Ridges Suite 615 Garzatown BC J9R8M3,X6R6B8,Herbalist,2011,Technical Support,48.35,1,0,0
84,19,James,Fox,Male,12/16/1997,129-899-2503,omoore@powers-bean.com,28420 Brenda Valley Apt. 087 New Timothyberg NS K2L2B3,N5Y 1G5,Private music teacher,2014,Logistics,33.41,1,0,0
85,11,Joshua,Jones,Female,11/26/2001,+1 (227) 117-6675,robert39@castillo.com,6520 Cunningham Corners Port Justinmouth NL G6X 6X3,V7R4H8,Therapist music,2000,Technical Support,25.73,1,2,1
86,18,Amy,Bradley,Male,8/2/2003,1-884-105-9838,patriciajohnson@frost.info,06526 Matthew Ridge Suite 009 Michelleville BC P9V 3J6,Y7V3S7,Fitness centre manager,2012,Technical Support,26.52,1,0,0
87,11,Susan,Johnson,Male,10/18/1974,1-312-721-0027,ronniewheeler@daniel.com,599 Thomas Route North Sarah AB S1S4J5,R4A1X1,Research officer government,2011,Technical Support,45.18,1,2,1
88,4,Ashley,Mayo,Male,3/13/2006,+1 (701) 605-2414,shawkristen@morales-miller.org,93276 Angelica Key Brayport PE Y9P 2E8,V5C3L5,Doctor hospital,2004,Inventory Management,36.41,1,2,0
89,12,Elaine,Mclean,Male,5/30/1991,894 881 1947,fbrown@morales.com,8047 Victoria Plains Suite 610 Lake Jeremytown AB B5T 6S5,L6X8R8,Exhibition designer,2011,Driving,29.48,1,0,1
90,14,Dennis,Conrad,Other,10/3/1965,807.269.3758,clarkdylan@yahoo.com,8903 Derek Ways New Darrenberg NL A2J 8C9,L5T5E6,Cabin crew,2022,Cash Handling,49.49,1,1,1
91,12,Steven,Stokes,Other,4/4/1981,453-151-3015 x453,riosjohn@shaw.com,2175 Julie Radial Johnsonside BC X2N 3H4,N1Y 4K6,Biochemist clinical,2012,Customer Service,22.09,1,1,1
92,19,Tiffany,Boyd,Other,4/29/1997,(973) 130-3125,jacobchung@graves.com,21342 Adams Cliff Apt. 234 South Stacychester SK X4V 6S6,R5K9G8,Health service manager,2010,Customer Service,37.76,1,2,1
93,20,Jonathan,Terrell,Male,4/22/1985,+1 (287) 528-0096,carneychristopher@hotmail.com,01754 Taylor Keys Apt. 870 Sheilaside NT J4M4H4,A7S 6B7,Scientist research (medical),2002,Cash Handling,34.28,1,1,0
94,5,Melissa,Burns,Other,9/19/1975,118-139-6577,eflowers@jones.org,3037 Smith Landing Apt. 316 Velezfurt NB R3M7R4,N4S 3A1,Building control surveyor,2001,Customer Service,28.59,1,1,0
95,19,Deborah,Wang,Female,11/10/1975,310.620.6491,lwiley@jackson-andrews.com,46689 Jerry Drive Apt. 669 Millerborough QC H8V 8C7,R4J 5V5,Ambulance person,2016,Sales,41.22,1,0,0
96,17,Stanley,Wilson,Other,4/7/1960,628-146-1562,josephlarson@burns.info,54334 Keith Prairie Port Heather BC H6Y 3A2,T7V 5H8,Engineer site,2000,Cash Handling,20.29,1,1,1
97,1,Jordan,Williams,Other,4/12/1966,+1 (969) 699-7819,stephaniebennett@gmail.com,183 Flores Meadow Port Angela BC T4L 1T8,E3S6V4,Broadcast engineer,2012,Data Analysis,15.14,1,1,0
98,3,Timothy,Grant,Female,3/30/1966,288-262-2026 x468,levyjacqueline@carter.com,289 Ruiz Center Apt. 453 Lake Christinaburgh QC E3H 6E9,L7J1K4,Catering manager,2013,Data Analysis,42.09,1,0,1
99,1,Bryan,Quinn,Other,9/16/1999,959-038-5103,hburton@perez.biz,1773 Hickman Mills East Diana AB V4M 5J3,Y4L9J4,Gaffer,2004,Driving,39.87,1,1,0
100,3,Mark,Harris,Other,1/17/1960,(568) 295-2192 x738,bharvey@strong-taylor.org,06605 Bailey Plains Suite 030 Mcmillanville QC T7C 2A7,J1C 4H2,Television camera operator,2022,Customer Service,39.48,1,0,1
